Incident,Summary,label
IDENTITY THEFT Identity Theft,A suspect used unknown means to make an unauthorized purchase on a non-USC female's debit account.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Damaged Property,A staff member reported that the driver's side view mirror was damaged while her vehicle was parked at the location.,1
THEFT-GRAND Theft Bicycle,A suspect removed a bicycle.,2
FIRE Alarm Malfunction,A fire alarm was activated by unknown cause.,2
SERVICE Suspicious Circumstances,A suspect was detained for investigation after a property manager reported that he observed the subject remove a package from the mail room at the location. The owner of the package could not be located to confirm that a crime had been committed and the suspect was subsequently released.,2
EH&S Gas Leak,A student reported the smell of gas in her apartment at the location and it was subsequently determined that a knob on the stove had not been completely turned to the off position. Once the stove was turned off the smell of gas dissipated.,3
THEFT-PETTY Theft Bicycle,A suspect removed the front wheel from a bicycle.,2
TRAFFIC Altered Parking Permit,A student's vehicle was immobilized for displaying an altered USC parking permit.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a skateboard.,2
FIRE Alarm Smoke,A fire alarm was activated by steam from food being cooked on a stove top.,2
TRAFFIC Traffic Collision Without Injuries,,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a wallet.,2
WARRANT Warrant Arrest,A bike theft suspect was arrested for an outstanding warrant.,2
"ASSAULT-OTHER Assault-Other Simple, Strangulation",A staff member reported that a patient choked him while attempting to leave his room without authorization. The staff member did not desire criminal prosecution of the matter.,3
SERVICE Injury Response,A student was transported to SHC for medical treatment after injuring his leg.,2
VANDALISM Vandalism-Misdemeanor,A suspect smashed the rear windshield of a non-USC female's vehicle while it was parked at the location.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a seat and a light from a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A student drove her vehicle into an unidentified subject's parked vehicle, causing minor damage.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a backpack.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A student driving her personal vehicle collided with a non-USC female driving her personal vehicle, causing unspecified damage.",2
PROPERTY Damaged Property,A student reported that the roof of her vehicle was scratched when it struck a height clearance bar while entering the parking structure.,1
TRESPASS Trespassing,A suspect was arrested for trespassing after she was observed harassing passersby and blocking a vehicle exit at the location.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision With Injuries,"A non-USC female drove her vehicle into a wall outside the location, causing major damage. The female sustained multiple abrasions and was treated and released at the scene.",3
SERVICE Person Stuck In Elevator,FMS personnel responded to free a student who was trapped in an elevator at the location.,5
SERVICE Illness Response,A student was transported to SHC for medical treatment after complaining of anxiety and nausea.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after experiencing an allergic reaction to food she had eaten.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a video game console and a video game.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a guitar.,2
DISTURBANCE Disturbing The Peace,A staff member reported that another staff member caused a disturbance at the location while possibly under the influence of alcohol.,1
VEHICLE CODE Hit & Run - Misdemeanor,A student reported that his vehicle was struck by another vehicle while it was parked at the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
FIRE Fire-Residential,A paper instruction manual caught fire inside an oven when a student failed to remove it before turning on the oven. An RA responded and extinguished the fire with a blanket.,4
DEATH Death by Undetermined Cause,A student died of unknown cause.,5
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Injury Response,A student was treated and released at the scene after cutting his finger.,2
THEFT-PETTY Theft Petty-Plain-Attempt,A suspect was arrested for attempting to remove the front wheel from a bicycle parked at the location.,2
VEHICLE CODE Driving Under Influence,A non-USC male was arrested for driving under the influence of alcohol after colliding with multiple vehicles near the location.,3
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
SERVICE Injury Response,A student was transported to SHC for medical treatment after injuring her knee.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a skateboard.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after complaining of weakness and difficulty breathing.,2
SERVICE Illness Response,A student suffering from a migraine headache was transported to a local hospital for medical treatment. A second student who flagged down officers at the scene was transported to SHC for medical treatment after suffering an anxiety attack.,2
BURGLARY Burglary-Residential,A suspect removed two cameras and a cellular phone.,3
SERVICE Suspicious Circumstances,A staff member at the location reported that a non-USC male made inquiries about the function of her department that caused her to feel uncomfortable.,2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Damaged Property,A non-USC male reported that the rear bumper was damaged while his vehicle was parked at the location.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a wallet.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of her roommate.,3
PROPERTY Damaged Property,A staff member reported that the front passenger side fender was damaged while her vehicle was parked at the location.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
FIRE Fire-Commercial,An electrical panel caught fire while a staff member was working on it and he used a fire extinguisher to put it out.,3
TRAFFIC Traffic Collision Without Injuries,"A staff member driving a University vehicle collided with another staff member's vehicle, causing unspecified damage.",2
SERVICE Illness Response,A student was examined and released at the scene after suffering a possible seizure.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A non-USC male drove a delivery truck into a surveillance camera, causing unspecified damage.",2
TRESPASS Trespassing,A suspect was detained for trespassing at the location and was subsequently transported to a local hospital for psychiatric evaluation.,3
SERVICE Illness Response,A non-USC female was examined and released at the scene after suffering an anxiety attack.,2
SERVICE Injury Response,A student reported that she chipped a tooth when she walked into a glass wall inside the fitness center at the location. The student sought dental treatment on her own.,2
EH&S Water Leak,"A student reported that water was leaking from the ceiling in a laboratory at the location. FMS personnel were requested, but the source of the leak had not been determined at the time of the report.",3
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
"EH&S Smell of Smoke, Odor, Non-Fire",Three students were cited to Judicial Affairs for smoking marijuana in a dorm room at the location.,1
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of a friend.,3
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after injuring his shoulder.,2
"DISORDERLY CONDUCT Prowling, Loitering",A suspect was arrested for prowling around vehicles parked inside the location.,1
PROPERTY Damaged Property,A staff member reported that a cable was torn out of a parking garage tag reader at the location.,1
SERVICE Injury Response,A student was examined and released to seek medical treatment on her own after injuring her knee.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of his roommate.,3
LA MUNICIPAL CODE Loud and Raucous Noise,A party was shut down at the location after the student host failed to comply with requests to keep the noise down following multiple complaints.,1
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of her roommates.,3
"EH&S Smell of Smoke, Odor, Non-Fire",Two students were cited to Judicial Affairs for allowing their guests to smoke marijuana in their apartment at the location.,1
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of her roommates.,3
PROPERTY Damaged Property,A parking gate sensor was damaged by three unidentified subjects who were observed climbing over the gate.,1
THEFT-GRAND AUTO Grand Theft Auto,"A suspect removed a gray, 2017 Toyota Camry left idling in front of the location.",4
THEFT-GRAND Theft Grand-Plain,A suspect was arrested for removing a non-USC female's purse from on top of a planter at the location.,2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
THEFT-GRAND Theft Bicycle,A suspect removed an unknown number of bicycles that were secured together on the fifth floor of the location.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Shoplifting,A suspect was arrested for removing several items of merchandise from the location without paying for them.,2
THEFT-PETTY Shoplifting,A student was cited to Judicial Affairs for removing several bottles of paint from the location without paying for them.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
DISTURBANCE Disturbing The Peace,A non-USC male was escorted off the premises after becoming irate over the time it was taking for him to be able to see a doctor.,1
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of his roommate.,3
TRESPASS Trespassing,A student was cited to Judicial Affairs for failure to comply with staff members who asked her to leave the pool because it was closed.,3
"EH&S Smell of Smoke, Odor, Non-Fire",Three students were cited to Judicial Affairs for smoking marijuana in a dorm room at the location.,1
DISORDERLY CONDUCT Interfering/Resisting Arrest,A theft suspect was arrested for slapping an officer's arm while he was being detained for investigation.,2
SERVICE Illness Response,An intoxicated student was transported to a local hospital for medical treatment after experiencing a rapid heart beat.,2
WARRANT Warrant Arrest,A lewd conduct suspect was arrested for three outstanding warrants.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Lost/Missing Property,A student reported his wallet missing.,1
ALCOHOL Drunk In Public,An intoxicated student was examined and released into the care of a friend.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was transported to a local hospital for medical treatment following an alcohol overdose.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed the front forks from a bicycle.,2
VANDALISM Vandalism-Felony,A non-USC male reported that his girlfriend used an unknown object to scratch the paint on his vehicle following an argument.,3
ALCOHOL Drunk In Public,An intoxicated student was examined and released into the care of her roommate.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of his roommates.,3
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of his roommate.,3
DOMESTIC VIOLENCE Dating Violence,A student reported that she was physically assaulted by her boyfriend.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
SERVICE Welfare Check,A welfare check was conducted on a student at the location after a friend reported receiving a disturbing text message from him. The student was placed in contact with a counselor at the Student Counseling Center and he was subsequently cleared for release.,2
FIRE Alarm Malfunction,A fire alarm was activated by unknown cause.,2
BATTERY Battery,A security guard was punched several times by a shoplifting suspect while attempting to detain him. The suspect then fled on foot and disappeared from sight.,3
TRAFFIC Traffic Collision Without Injuries,"A staff member driving a University vehicle collided with a non-USC male driving his personal vehicle, causing unspecified damage.",2
SERVICE Suspicious Circumstances,"Officers responded to investigate an anonymous report of hazing taking place at the location, but no evidence was found.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
FIRE Fire-Trash,A fire was reported in a cardboard trash can at the location. Officers responded and used a fire extinguisher to put out the fire.,2
SERVICE Injury Response,A student was examined and released at the scene after injuring her shoulder.,2
VANDALISM Vandalism-Felony,A suspect used an unknown object to smash a kitchen window.,3
VANDALISM Vandalism-Felony,A suspect broke a bedroom window by throwing a frozen juice box at it.,3
BURGLARY Burglary-Residential,A suspect removed a laptop computer and a cellular phone.,3
DISTURBANCE Disturbing The Peace,Two students reported that an acquaintance has been sending them messages on a social media site that are causing them to feel uncomfortable.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a laptop computer.,2
TRAFFIC Traffic Collision Without Injuries,"A staff member backed a University vehicle into a parked University vehicle, causing unspecified damage.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a trash dumpster.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a laptop computer.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision-Bicycle,A non-USC female was struck by a University vehicle while riding her bicycle. The female sustained minor abrasions to her leg and did not desire medical treatment.,2
FIRE Alarm Smoke,A fire alarm was activated by smoke from burnt food.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Injury Response,A non-USC female was transported within the facility for medical treatment after injuring her hip.,2
DISTURBANCE Disturbing The Peace,A party hosted by a student at the location was shut down due to multiple noise complaints.,1
PROPERTY Damaged Property,A student reported that the driver's side doors were scratched and dented while her vehicle was parked at the location.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a backpack.,2
ALCOHOL Unlawful Possession of Alcohol,An intoxicated student was cited to Judicial Affairs for underage drinking and jumping in the fountain at the location.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
SEX OFFENSE Rape,A student was sexually assaulted.,5
SERVICE Illness Response,A student was examined and released to seek medical treatment on her own after experiencing numbness to her face.,2
THEFT-GRAND Theft Grand-Plain-Attempt,A suspect removed a concrete cutter from the location and hid it behind a nearby residence to retrieve later. The cutter was subsequently found and returned to it's owner.,3
THEFT-PETTY Theft Bicycle,A suspect was arrested for removing a student's bicycle from the location.,2
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after experiencing an anxiety attack.,2
TRAFFIC Traffic Collision Without Injuries,"A staff member driving a University vehicle collided with a non-USC female driving her personal vehicle, causing unspecified damage.",2
THEFT-PETTY Theft Petty-Plain,A suspect removed a backpack.,2
SERVICE Injury Response,A student was transported to SHC for medical treatment after injuring her leg.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a package from the mailroom at the location.,2
EH&S Violation of Campus Smoking Policy,Four students were cited to Judicial Affairs for smoking marijuana inside an apartment at the location.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
WARRANT Warrant Arrest,A trespassing suspect was arrested for an outstanding warrant.,2
SERVICE Injury Response,A student was examined and released to seek medical treatment on his own after injuring his knee.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
INCIDENT Dispute,A non-USC female reported that an unidentified male threw a plastic bottle into her vehicle during a verbal dispute.,2
WARRANT Warrant Arrest,A suspect who was observed smoking marijuana outside the location was arrested for two outstanding warrants.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after suffering a seizure.,2
ROBBERY Robbery-Fear-Attempt,"A suspect approached a student who was walking his bike near the location and threatened to take it from him. Fearing for his safety, the student flagged down passing DPS officers. The officers detained the suspect, but he was subsequently released due to insufficient evidence of a crime having been committed.",2
EH&S Gas Leak,A student reported the smell of gas in her apartment at the location and it was subsequently determined that a knob on the stove had not been completely turned to the off position. Once the stove was turned off the smell of gas dissipated.,3
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of a friend.,3
NARCOTICS Possession of a Controlled Substance,A suspect was arrested for trespassing at the location and possession of a controlled substance.,3
TRAFFIC Traffic Collision Without Injuries,"A non-USC male driving a tram collided with a staff member and a non-USC male driving their personal vehicles, causing minor to moderate damage.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Lost/Missing Property,A student reported an immigration document missing.,1
SERVICE Illness Response,A staff member was examined and released at the scene after complaining of difficulty breathing and blurred vision.,2
VANDALISM Vandalism-Misdemeanor,A suspect was arrested for tagging a wall outside the location with a marking pen.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision-Bicycle,A student was struck by a vehicle while riding his bicycle near the location. The student sustained a head injury and was transported to a local hospital for medical treatment.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after suffering a seizure.,2
PROPERTY Lost/Missing Property,A suspect removed a bicycle.,1
TRAFFIC Traffic Collision Without Injuries,"A non-USC male drove his vehicle into a student's vehicle, causing moderate damage. A pregnant passenger in the student's vehicle was transported to a local hospital for a precautionary examination.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
INCIDENT Business Dispute,A suspect used unknown means to make multiple unauthorized purchases on a student's debit card account.,1
SERVICE Suspicious Circumstances,A student reported that she was concerned about the odd behavior of a classmate during a recent class.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released at the scene.,3
BATTERY Battery,A student sustained a possible broken nose when he was punched in the face by an unidentified suspect during an altercation involving several individuals in the parking lot outside the location.,3
VEHICLE CODE Possession Fake Identification,Nine students were cited to Judicial Affairs for underage possession of alcohol and seven of them were also cited for possession of fake Id's.,2
VANDALISM Vandalism-Misdemeanor,A suspect used unknown means to break off the side view mirror on a student's vehicle while it was parked at the location.,2
LA MUNICIPAL CODE Loud and Raucous Noise,A party hosted by two students was shut down when they failed to comply with requests to keep the noise down following multiple complaints.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a cellular phone.,2
THEFT-PETTY Theft Bicycle,A suspect was arrested for removing a student's bicycle from the location.,2
SERVICE Illness Response,A student was examined and released to seek medical treatment on her own after complaining of numbness to her jaw.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a purse.,2
DISTURBANCE Disturbing The Peace,Two intoxicated non-USC males were involved in a physical altercation at the location.,1
SERVICE Injury Response,A non-USC male was transported to a local hospital for medical treatment after falling and hitting his head.,2
PROPERTY Lost/Missing Property,A student reported his wallet missing.,1
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A suspect removed a backpack.,2
SERVICE Suspicious Circumstances,A staff member reported that a student became verbally abusive during a meeting and made threatening statements about other students.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a virtual reality headset and two controllers.,2
SERVICE Injury Response,A non-USC female was examined and released at the scene after hitting her head on an angled beam.,2
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after complaining of abdominal pain and feeling light headed.,2
VEHICLE CODE Hit & Run - Misdemeanor,A student reported that his vehicle was struck by another vehicle while it was parked at the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
EH&S Water Leak,Water was observed to be leaking from a pipe in a basement ceiling at the location and FMS personnel were requested to clean up and conduct repairs.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
WARRANT Warrant Arrest,A trespassing suspect was arrested for an outstanding warrant.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed the front wheel from a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A staff member drove a University tram into a parked University tram, causing unspecified damage.",2
VEHICLE CODE Possession Fake Identification,Six students were cited to Judicial Affairs for underage possession of alcohol and four of them were also cited for possession of fake Id's.,2
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after complaining of chest pains.,2
ASSAULT Assault-Other Dangerous Weapon,A suspect in a passing vehicle shot a student in the back with a paint ball gun.,4
BURGLARY Burglary-Hot Prowl,Two suspects were arrested for entering a student's residence without permission and removing unknown property.,2
ALCOHOL Drunk In Public,An intoxicated student was examined and released at the scene.,2
ALCOHOL Unlawful Possession of Alcohol,Ten students were cited to Judicial Affairs for possessing open containers of alcohol in public.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released at the scene.,3
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
ALCOHOL Drunk In Public,A non-USC male was arrested for public intoxication.,2
THEFT-PETTY Theft Bicycle,A suspect was arrested for removing a student's bicycle from the location.,2
TRAFFIC Traffic Collision Without Injuries,"A staff member backed a University vehicle into a parked University electric cart, causing no visible damage.",2
SERVICE Illness Response,A student suffering from possible heat exhaustion was treated and released at the scene.,2
SERVICE Welfare Check,A welfare check was conducted on a student at the location after he sent text messages to his mother that caused her to believe he may harm himself. The student was placed in contact with an on call counselor at the Student Counseling Center and he was subsequently cleared for release.,2
SERVICE Injury Response,Officers contacted a student at the location after observing a trail of blood leading to his room. The student stated that he sustained a cut when he stepped on broken glass and he was treated at a local hospital after being transported by his friends. The officers then cleared the scene.,2
LA MUNICIPAL CODE Loud and Raucous Noise,A student was cited to Judicial Affairs for hosting an unregistered party at the location.,1
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after sustaining a cut to his chin.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released at the scene.,3
SEX OFFENSE Sodomy,A student reported that he was sexually assaulted.,4
VEHICLE CODE Possession Fake Identification,Seven students were cited to Judicial Affairs for underage possession of alcohol and two of them were also cited for possession of fake Id's.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of her roommate.,3
LA MUNICIPAL CODE Loud and Raucous Noise,A student was cited to Judicial Affairs for hosting an unregistered party at the location.,1
WARRANT Warrant Arrest,A bike theft suspect was arrested for two outstanding warrants.,2
PROPERTY Lost/Missing Property,A student reported his cellular phone missing.,1
EXTORTION Extortion,A student reported that a suspect attempted to extort money from him by threatening to post a sexually explicit video of him on a social media site.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed a backpack.,2
SERVICE Illness Response,A student suffering from flu like symptoms was examined and released at the scene.,2
THEFT-PETTY Shoplifting,A suspect removed two shirts from the location without paying for them.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed currency from a purse.,2
EH&S Water Leak,Water was observed to be leaking from the ground around a fire hydrant outside the location and responding DWP personnel determined that an underground valve was damaged. The DWP personnel then turned off the water to the hydrant until it could be repaired.,3
SERVICE Injury Response,A student was treated and released at the scene after sustaining a cut to his foot.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
VEHICLE CODE Possession Fake Identification,A student was cited to Judicial Affairs for possession of a fake Id.,2
VEHICLE CODE Possession Fake Identification,A student was cited to Judicial Affairs for possession of a fake Id.,2
SERVICE Illness Response,A student was examined and released at the scene after reporting that he was feeling faint.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a package left inside a secured fence.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was transported to a local hospital for medical treatment following an alcohol overdose.,3
THEFT-PETTY Theft Petty-Plain,A suspect stopped a student on a bike to ask for money and when the student dismounted the suspect grabbed the bike and rode away on it.,2
THEFT-PETTY Theft Petty-Plain-Attempt,Two suspects were arrested for removing a student's bicycle from the location.,2
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after injuring his hand.,2
HARASSMENT Harassment,A student reported that a suspect he met online has been sending disturbing messages to him and his family on a social media site.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after suffering a seizure.,2
EH&S Water Leak,Water leaking from a broken pipe flooded the basement at the location. FMS personnel were requested and responded to clean up and conduct repairs.,3
WEAPONS Brandishing A Weapon In a Deadly Manner,A staff member reported that a suspect brandished a handgun at him during a verbal dispute. The suspect then walked away and disappeared from sight.,4
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
DISORDERLY CONDUCT Ejection From University Event,Seven students were cited to Judicial Affairs for allowing other people to use their USC Id's to attempt to gain entry to a football game.,1
ALCOHOL Unlawful Possession of Alcohol,,2
ALCOHOL Unlawful Possession of Alcohol,,2
PROPERTY Lost/Missing Property,A non-USC female reported her fanny pack missing.,1
ROBBERY Robbery-Firearm,DPS officers responded to a report of a robbery having just occurred at the location and detained one of four suspects. LAPD officers responded to take over the investigation and the suspect was turned over to them. There was no USC involvement.,4
EH&S Water Leak,A water leak was reported in a third floor laundry room and a washing machine was subsequently observed to be overflowing. The water to the washing machine was shut off then FMS personnel were requested to clean up and conduct repairs.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Illness Response,A non-USC female suffering from possible heat exhaustion was transported to a local hospital for medical treatment.,2
TRAFFIC Traffic Collision With Injuries,A student reported that he was struck by a vehicle while riding his scooter near the location earlier in the day. The student did,3
HARASSMENT Harassment,A staff member reported that he has been the subject of on-going harassment by another staff member.,2
HARASSMENT Restraining Order Violation,,2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
SERVICE Person Stuck In Elevator,"LAFD responded to a report of people trapped in an elevator at the location, but upon opening it they found no one inside.",5
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Shoplifting,"A student was arrested for removing merchandise from the location without paying for it, cited and released.",2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A suspect removed a bicycle from the bed of a truck.,2
FIRE Fire-Residential,LAFD responded to a report of the smell of smoke on the second floor of the location and discovered a small fire inside a trash chute. The fire was extinguished without incident.,4
SERVICE Injury Response,A student reported that she chipped a couple of teeth and sustained abrasions to her legs when she fell outside the location. The student sought medical and dental treatment on her own.,2
PROPERTY Damaged Property,A staff member reported that a vehicle gate was damaged by unknown means.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
WARRANT Warrant Arrest,Two suspects who were observed loitering outside the location were detained for questioning and one of them was subsequently arrested for an outstanding warrant.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a briefcase.,2
PROPERTY Lost/Missing Property,A student reported his backpack missing.,1
WARRANT Warrant Arrest,A theft suspect was arrested for an outstanding warrant.,2
TRAFFIC Parking Problem,A student was cited to Judicial Affairs for uncooperative behavior with officers who were attempting to get his acquaintance to move her vehicle that was blocking traffic at the location.,1
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
WARRANT Warrant Arrest,A theft suspect was arrested for several outstanding warrants.,2
DISTURBANCE Disturbing The Peace,A fraternity and a sorority were cited to Judicial Affairs for hosting an unauthorized party at the location.,1
FIRE Alarm Malfunction,A fire alarm was activated by unknown cause.,2
SERVICE Suspicious Circumstances,A student was cited to Judicial Affairs for providing false information to officers during an investigation.,2
PROPERTY Damaged Property,A staff member reported four broken windows.,1
PROPERTY Lost/Missing Property,A staff member misplaced her keys.,1
FIRE Alarm Malfunction,A fire alarm activated by unknown means. No further incident.,2
INCIDENT Dispute,Two roommates disputed over personal property.,2
PROPERTY Lost/Missing Property,A student reported his wallet and passport lost.,1
PROPERTY Lost/Missing Property,A student misplaced her laptop.,1
SERVICE Illness Response,A non-USC tripped and fell while walking. No injuries.,2
TRAFFIC Traffic Collision Without Injuries,A staff member driving a university vehicle collided into a tree. No injuries.,2
PROPERTY Damaged Property,A student reported her vehicle's right side mirror damaged.,1
THEFT-PETTY Theft Bicycle,A faculty member reported his bicycle stolen.,2
SERVICE Suspicious Circumstances,A student reported that he believed that an unknown person hacked into his cell phone and computer.,2
THEFT-PETTY Theft Bicycle,A student reported his bicycle stolen.,2
PROPERTY Lost/Missing Property,An officer reported his uniform badge missing.,1
PROPERTY Lost/Missing Property,A staff member reported a missing volleyball cart.,1
INCIDENT Dispute,Roommate dispute resulted in a physical altercation. No injuries.,2
ALARM RESPONSE Environmental Alarm,DPS officer responded to a radiation alarm triggered by contaminated linen.,3
THEFT-PETTY Theft Petty-Plain,A faculty member reported CD's stolen from his locked office.,2
