Summary,label
A staff member was injured from a fall.,2
A student was cited to Judicial Affairs for underage possession of alcohol.,2
A trespassing suspect was arrested for possession of a controlled substance.,3
A student was anonymously reported to have been sexually assaulted.,4
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A suspect was arrested for removing a purse from a student's vehicle.,3
A staff member was transported to a local hospital for medical treatment after complaining of chest pain.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A student reported that he was tricked into purchasing gift cards and providing the access codes to a suspect to pay for a security upgrade after being told that his phone was susceptible to being hacked.,2
A student reported that he has been receiving harassing and threatening text messages and phone calls from another student following a business dispute.,1
A staff member discovered unreported damage to the rear passenger side wheel rim during a routine inspection of a University vehicle.,1
A student was examined and released at the scene after falling and hitting his head.,2
A student was transported to a local hospital for medical treatment after injuring his finger.,2
A suspect removed a camera and accessories.,2
A suspect removed an in-dash stereo and two jackets.,2
An unidentified suspect made racially inflammatory statements and threatened an officer during a call to the DPS dispatch center.,2
A suspect removed a pair of shoes.,2
A student experiencing pregnancy related issues was transported to a local hospital for medical treatment.,2
A suspect attempted to pry open two doors to gain entry to the location.,2
A suspect used a rock to smash the front and rear windshields of a staff member's vehicle while it was parked near the location.,3
A student was treated and released at the scene after suffering an allergic reaction to food he had eaten.,2
A suspect used a rock to smash the front windshield and the driver's and passenger side windows of a student's vehicle while it was parked at the location.,2
A faculty member reported that she observed a suspect masturbating inside a restroom at the location. The suspect fled and he could not be located during a subsequent search of the area.,3
A suspect on a motorized scooter approached a student and her mother as they were walking near the location and threatened to shoot the mother if she did not hand over her wallet. The student began yelling for help and the suspect fled without removing any property.,2
A suspect removed a backpack.,2
"Two bike theft suspects were detained for investigation, questioned and released.",1
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A non-USC male was detained for questioning after he was observed attempting to gain entry to the location during restricted hours. The male stated he was attempting to retrieve his backpack from his sister and after she brought it to him he left the premises without further incident.,1
A student reported that she has been having on-going problems with her roommates and desires to move to another apartment.,2
"A vehicle fire was reported on the third floor of the location, but it was subsequently determined that smoke from the vehicle was due to it overheating and there was no fire.",2
A suspect removed a laptop computer and two pairs of headphones.,2
A radiation alarm was activated by the contents of a trash bag.,3
A suspect removed a bicycle.,2
Roommate dispute. They agreed to settle their dispute with SJACS.,2
A fire alarm was activated by steam from a shower.,2
"A suspect was detained for investigation after he was observed pulling on a door handle to gain entry to a staff member's vehicle, but there was insufficient evidence of a crime having been committed and he was subsequently released.",2
A student was treated and released at the scene after falling and sustaining abrasions to his hand and elbows.,2
Water was reported to be leaking from a ceiling vent in the lobby of the location. FMS personnel were requested and responded to clean up and conduct repairs.,3
A suspect removed the vehicle battery.,2
A suspect used unknown means to make an unauthorized purchase on a student's credit card account.,2
"A student on a skateboard collided with a non-USC female's vehicle, causing unspecified damage. The student sustained a cut to his forehead and multiple abrasions and was transported to a local hospital for medical treatment.",2
"A student reported a USC ID, a pair of glasses and a calculator missing.",1
A non-USC female was involved in a business dispute with her mother at the location.,3
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A staff member was examined and released at the scene after complaining of dizziness.,2
"A suspect removed a cellular phone, a USC ID and a credit card.",2
"A non-USC male drove his personal vehicle into a staff member's personal vehicle, causing minor damage.",2
A suspect was arrested for starting a fire on a sidewalk near the location.,4
A student was cited for hosting an unauthorized event.,1
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment after injuring his shoulder.,2
A student reported that another student threatened him.,1
An unidentified male who was involved in a two vehicle traffic collision near the location drove away without stopping to identify,3
A non-USC female was transported within the facility for medical treatment after complaining of chest pains.,2
"A non-USC female drove her vehicle into a staff member's vehicle, causing unspecified damage. Both drivers sustained minor injuries and were treated and released at the scene.",3
A suspect removed a bicycle.,2
A fire alarm was activated by smoke from burnt food.,2
A suspect removed a bicycle.,2
A suspect removed a gas can from the bed of a pickup truck.,2
A suspect removed the registration and insurance slips.,1
A student was cited to Judicial Affairs for using a fake ID to purchase alcohol at the location.,2
"A student drove his vehicle into a parked University vehicle, causing minor damage.",2
Two suspects struck a staff member with their skateboards during a confrontation outside the location. The suspects then fled and they could not be located during a subsequent search of the area. The staff member was not injured.,3
A suspect used a marking pen to write graffiti on a wall on the top level of the location.,2
A suspect removed a coffee table.,2
A welfare check was conducted on a student at the location after he reportedly made statements about harming himself. The student was unharmed when contacted and he was subsequently released into the care of his parents.,2
A non-USC male reported his wallet and cellular phone missing.,1
A staff member used unknown means to remove two immobilization boots that were placed on his vehicle due to multiple outstanding citations.,2
A student was examined and released to seek medical treatment on his own after injuring his ankle.,2
"A suspect removed a video game console, a pair of headphones and a basketball.",3
Water was observed to be leaking from a broken pipe inside the location and flooding a room. FMS personnel were then requested to clean up and conduct repairs.,3
A student was cited to Judicial Affairs for a campus bike policy violation.,1
A student reported that an acquaintance has been attempting to contact her via social media after she ended communication with him and it has caused her to feel uncomfortable.,2
A suspect removed a bicycle.,2
"A suspect approached a student as she was walking near the location and attempted to pull her purse off her shoulder. A struggle ensued, during which the purse strap broke and the student fell to the ground. The suspect then grabbed the purse and fled from sight.",3
A non-USC male drove his vehicle into a student's parked vehicle then drove away without stopping to report the incident or leave any contact information at the scene. The male was subsequently detained by officers and his contact information was obtained for the student.,3
A non-USC male reported that someone left two vulgar notes on his vehicle while it was parked at the location.,2
A staff member was banned from the coffee shop at the location after he berated and threatened another staff member who was attempting to serve him.,1
A suspect removed a bicycle.,2
A staff member was struck by a vehicle while riding his skateboard near the location. The staff member sustained an injury to his leg and he was transported to SHC for medical treatment.,3
A suspect removed a bicycle.,2
A staff member reported that a package containing ten prescription medication tablets was missing from a narcotics cabinet.,1
A staff member reported damage to a sanitary dispenser in a female restroom.,1
A student was transported to a local hospital for medical treatment after falling and hitting his head.,2
Two juveniles who were on campus for a field trip were involved in a physical altercation. The fight was stopped by the students' teachers and they were subsequently turned over to their parents.,1
A faculty member reported his bicycle stolen.,2
A student was transported to a local hospital for medical treatment after sustaining a cut to his lip.,2
"A staff member driving a University tram collided with a non-USC male driving his personal vehicle, causing unspecified damage.",2
A suspect removed a bicycle.,2
A suspect was arrested for trespassing at the location.,3
A suspect removed a bicycle.,2
A suspect removed a cellular phone.,2
A non-USC female was transported within the facility for medical treatment after injuring her knee.,2
A fire alarm was activated by unknown cause.,2
A suspect removed a computer monitor.,1
Water leaking through the ceiling flooded multiple rooms in the basement of the location. FMS personnel were requested and responded to clean up and conduct repairs.,3
A suspect removed a pair of headphones and an external hard drive.,2
A suspect removed currency from a purse.,2
A student was examined and released at the scene after complaining of stomach pains.,2
A suspect snatched a cellular phone from a student's hand as he was exiting a Metro train at the location then fled from sight.,2
A non-USC female was treated and released at the scene after injuring her knees.,2
A student reported that he was involved in a verbal dispute with another student at the location.,2
A staff member reported that her vehicle was struck by another vehicle while it was parked at the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
A prowling suspect was arrested for possession of a controlled substance.,3
A student reported his wallet missing.,1
A staff member was transported to SHC for medical treatment after injuring her knee.,2
A student was examined and released at the scene after complaining of fatigue and feeling light headed.,2
A fire alarm was activated by unknown cause.,2
"A suspect shot at a window several times with a BB gun, causing it to shatter.",3
"A suspect removed currency, clothing, a cell phone charger and a pair of sunglasses.",2
A student reported that another student has been sending him unwanted email and social media messages for nearly two years.,2
An intoxicated student was examined and released into the care of a friend.,2
A party hosted by a student at the location was shut down due to noise complaints and an overflow crowd blocking the street.,1
A witness reported that he observed a vehicle collide with a parked vehicle inside the location and the driver of the first vehicle left without reporting the incident or leaving any contact information at the scene.,3
A suspect broke a bedroom window by throwing a frozen juice box at it.,3
A suspect removed a tote bag.,2
A suspect removed miscellaneous paperwork.,1
"A non-USC male backed his vehicle into a tree, damaging the rear passenger side window.",2
A suspect removed a bicycle.,2
Nine students were cited to Judicial Affairs for underage possession of alcohol and seven of them were also cited for possession of fake Id's.,2
A bike theft suspect was arrested for shoving a DPS officer.,3
A suspect removed a golf bag.,2
A non-USC female was examined and released to seek medical treatment on her own after complaining of abdominal pain.,2
A water leak was reported in a restroom at the location. FMS personnel were requested and responded to clean up and conduct repairs.,3
A staff member reported that he observed a vehicle collide with a campus perimeter fence at the location and the driver left the scene without stopping to report the incident.,1
A non-USC female was transported to a local hospital for medical treatment after complaining of difficulty breathing.,2
Unknown suspect pointed an air gun at a non_USC male and fled. No further incident.,4
A suspect removed the seat and head lamp from a bicycle.,2
A suspect removed a bicycle.,2
A contractor who was painting a balcony at the location was arrested for forcibly gaining unauthorized entry to a student's apartment and ransacking the interior.,2
A theft suspect was arrested for an outstanding warrant.,2
A bike theft suspect was arrested for possession of drug paraphernalia and three outstanding warrants.,3
"A non-USC male drove his vehicle into another non-USC male's vehicle, causing unspecified damage.",2
A staff member was transported to a local hospital for medical treatment after injuring her ankle.,2
A fire alarm was activated by smoke from burnt food.,2
A suspect removed a backpack.,2
A student reported that she was sexually assaulted.,4
A fire alarm was activated by unknown cause.,2
Two students were involved in a verbal altercation at the location.,2
A staff member reported receiving an annoying phone call from a subject attempting to contact the faculty member for whom she works and it caused her concern because the subject knew the home address of the faculty member.,2
A suspect was arrested for removing a student's bicycle from the location.,2
An entrance door was damaged by unknown means.,1
A student reported his cellular phone missing.,1
A non-USC female was examined and released at the scene after injuring her wrist.,2
Three suspects approached a male student from behind. One suspect displayed a handgun. Another suspect punched him in the face and grabbed the student's cell phone. All three suspects fled away.,4
A suspect removed a bicycle.,2
A non-USC female was transported to a local hospital for medical treatment after experiencing an allergic reaction to an unspecified substance.,2
A student reported that a suspect pushed him without provocation as he was walking past the subject outside the location. The suspect then fled on foot and disappeared from sight.,3
A student reported his registered bicycle stolen.,2
An intoxicated student was examined and released into the care of a friend.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A female student was transported to a hospital after fainting.,2
A non-USC male who was involved in a verbal dispute with his girlfriend near the location was arrested for two outstanding warrants.,2
LAFD responded to the location to free four students who were trapped in an elevator.,2
A suspect approached a staff member from behind as she was walking near the location and snatched her cellular phone from her hand. The suspect then fled to a waiting vehicle and drove away.,3
A staff member reported that the driver's side doors were damaged while her vehicle was parked at the location.,1
An intoxicated student was examined and released into the care of her friends.,2
A student and her boyfriend were involved in a verbal altercation near the location.,2
A suspect used unknown means to dent the driver's side door frame of a student's vehicle while it was parked at the location.,3
"Officers responded to a report of a water leak at the location and upon their arrival they determined that it was coming from a ruptured water main. LAFD was requested and responded to shut off the water main, then the DWP responded to conduct repairs.",3
A theft suspect was arrested for an outstanding warrant.,2
A visitor was cited for displaying an altered parking permit.,1
A suspect removed a bicycle.,2
"A student drove her vehicle into a parking garage gate, knocking it off it's track.",2
"A student was arrested for removing merchandise from the location without paying for it, cited and released.",2
A male student fell from his skateboard causing injury to his right hand. He was transported to a hospital.,2
A suspect removed a bag containing miscellaneous household items.,2
A student was transported to a local hospital for medical treatment after falling and hitting his head.,2
An indecent exposure suspect was arrested for an outstanding warrant.,2
A staff member reported that he was concerned about the safety of a student after receiving conflicting information from a psychologist who examined him.,2
A non-USC male was examined and released to proceed to his previously scheduled doctor's appointment after complaining of weakness in his legs.,2
A suspect kicked a hole in a sign outside the location.,2
A suspect on a bicycle approached a non-USC female from behind as she was walking near the location and attempted to snatch her cellular phone from her hand. A struggle ensued and the female managed to maintain control of the phone. The suspect then rode away and disappeared from sight.,3
A car service driver was arrested for threatening a staff member who asked him to move his vehicle.,2
A suspect removed a backpack and a skateboard.,2
A non-USC female was transported into the facility for medical treatment after falling and sustaining cuts to her head and wrist.,2
A student was examined and released at the scene after fainting.,2
A suspect removed a bicycle.,2
A staff member drove over tire spikes causing damage to the front and rear tires.,1
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment after injuring his foot.,2
"Unknown suspect entered a non-USC male's apartment window and removed a backpack, electronics, and sunglasses.",3
A student reported that her ex-boyfriend continues to attempt to make contact with her after she asked him not to do so.,2
A trespassing suspect was arrested for possession of a controlled substance.,3
A suspect removed a bicycle.,2
"A student reported that her roommate, also a student, grabbed her by both arms and slammed her against a wall during an argument. The reporting student sustained bruises to her arm, but did not desire medical treatment or criminal prosecution of the matter.",3
A radiation alarm was activated by the contents of a trash bag.,3
A fire alarm was activated by smoke from a kitchen stove.,2
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
"A suspect removed two laptop computers, currency, a pair of headphones and a camera lens.",2
"A non-USC male drove his company vehicle into an unidentified subject's parked vehicle, causing minor damage.",2
A non-USC male was transported to a local hospital for medical treatment after suffering a seizure.,2
A suspect removed a pair of running shoes.,2
A student reported her passport missing.,1
A student was cited to Judicial Affairs for belligerent behavior with security staff who advised him that he could not take alcohol outside the restaurant at the location.,1
A non-USC male was examined and released at the scene after falling inside the location.,2
A student reported her USC parking permit missing.,1
A suspect removed a bicycle.,3
A suspect removed a skateboard.,2
A suspect removed a bicycle.,2
A non-USC male was examined and released at the scene after fainting.,2
A student reported that an unidentified male punched her in the face without provocation during a concert at the location.,3
A student collided with a vehicle while riding his bicycle near the location. The student sustained unspecified injuries and was transported to a local hospital for medical treatment.,2
A lewd conduct suspect was arrested for an outstanding warrant.,2
A student was examined and released to seek medical treatment on his own after injuring his Achilles tendon.,2
A non-USC male was transported to a local hospital for medical treatment after suffering an allergic reaction to a MRI dye.,2
A suspect removed a department issued two way radio.,4
A suspect removed the handlebars from a bicycle.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A non-USC female reported that the behavior of a security guard stationed at the location is making her feel uncomfortable.,2
A fire alarm was activated by steam from a ruptured hot water pipe in a laundry room. FMS personnel were requested and responded to turn off the water and conduct repairs.,1
An intoxicated student was cited to Judicial Affairs for uncooperative and belligerent behavior with DPS officers who detained him for a trespassing investigation.,2
A student reported that he was a victim of an email scam.,2
A student was transported to a local hospital for medical treatment after sustaining a cut to his finger.,2
A juvenile was transported to a local hospital for medical treatment after injuring her ankle.,2
A student was detained for questioning after he was observed slapping another student on the hip near the location. The second student did not desire criminal prosecution of the matter and the first student was subsequently released.,3
"A student reported that another student, whom she declined to identify, has touched her inappropriately on multiple occasions.",4
"A non-USC female backed her vehicle into a staff member's vehicle, causing unspecified damage.",2
A student was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
A non-USC female reported that a suspect threatened her after she ignored his attempts to get her attention.,2
"A suspect on a motorized scooter approached a student who was walking near the location, demanded her wallet and threatened to shoot her if she did not comply. When the student stated that she did not have any money the suspect forced her to walk to a nearby ATM where she was unable to make a withdrawal. The suspect then followed the student to her residence where she located a box filled with coins. The student handed over the coins and the suspect fled on the scooter.",4
A radiation alarm was activated by the contents of a trash bag.,3
A student reported receiving annoying text from her former boyfriend.,2
An intoxicated non-USC male unable to care for himself was transported to a detox facility.,2
"Water was observed to be flooding the floor outside a room on the first floor of the location, but the source could not be determined at the time of the report. FMS personnel were requested and responded to clean up and conduct repairs.",3
A student injured herself while playing frisbee.,2
A fire lane sign was damaged by unknown means.,1
A fire alarm was activated by water mist from pressure washers being used on the walls of the parking garage at the location.,1
A student reported his driver's license missing.,1
Two staff members were involved in a verbal dispute over a parking space near the location.,2
A staff member was transported to a local hospital for medical treatment after complaining of dizziness and feeling faint.,2
cc,2
A fire alarm was activated by unknown cause.,2
"A student driving her personal vehicle collided with a non-USC male driving his personal vehicle, causing unspecified damage.",2
A staff member reported his department issued two way radio missing.,1
A suspect removed three cellular phones.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A student's vehicle was immobilized for displaying an altered USC parking permit.,1
A fire alarm was activated by a malfunction.,2
A non-USC female was transported to a local hospital for medical treatment after injuring her knee.,2
A student's vehicle was immobilized for displaying an altered USC parking pass.,1
A non-USC female reported that she was sexually assaulted by a student.,4
A student who reported that he was suffering from symptoms of alcohol withdrawal was transported to a local hospital for medical treatment.,2
A student reported that her apartment front door was damaged by someone kicking it open.,2
A staff member reported that during a phone conversation a patient made multiple statements about her doctor which sounded threatening.,2
A suspect on a bicycle removed a cellular phone from a student's backpack as he rode past her.,2
A student reported the rear license plate missing from his vehicle.,1
"A suspect climbed onto a balcony and opened an unsecured sliding glass door to gain entry to an apartment. The suspect ransacked the interior, but it could not be determined if any property had been removed at the time of the report.",3
A suspect removed a cellular phone.,2
A non-USC male was arrested for driving under the influence of alcohol after he collided with two vehicles at the location.,3
A suspect used unknown means to make several unauthorized purchases on a student's debit card account.,3
A staff member reported that she injured her hip when she slipped and fell outside the location. The staff member sought medical treatment on her own.,2
A suspect removed dental equipment.,2
A staff member was cited for altering a parking permit.,1
A suspect removed a package that was delivered to the location.,2
A staff member reported that contractors painting a handrail splattered paint on the hood and front bumper of her vehicle while it was parked at the location.,1
A student reported that the front bumper was damaged while her vehicle was parked at the location.,1
A non-USC male was transported inside the facility for medical treatment after falling and sustaining a cut above his eye.,2
A radiation alarm was activated by the contents of a trash bag.,3
A staff member reported that the rear passenger side door was damaged while her vehicle was parked at the location.,1
A suspect removed an unknown quantity of basketball and volleyball equipment.,3
A suspect removed a suit and two shirts.,1
A juvenile was treated and released into the care of her chaperone after injuring her ankle.,2
Three students were cited to Judicial Affairs for accessing the roof of the location without authorization.,3
A suspect removed a bicycle.,2
A student reported that the hood was damaged when a suspect jumped on her vehicle while it was parked at the location.,2
A student reported his passport missing.,1
"A suspect removed two cellular phones, a wallet and a credit card.",2
A student and a non-USC male were involved in a physical altercation at the location. Neither party desired criminal prosecution of the matter.,3
A suspect used unknown means to burn a plastic trash can inside a restroom on the second floor of the location. The suspect also used a marking pen to draw graffiti on the restroom walls.,4
LAFD responded to the location to free a person who was trapped in an elevator.,2
Two students were involved in a verbal altercation at the location.,2
A student was transported to a local hospital for medical treatment after complaining of severe stomach pain.,2
An intoxicated student was examined and released into the care of a friend.,2
Two suspects who were observed loitering outside the location were detained for questioning and one of them was subsequently arrested for an outstanding warrant.,2
A suspect removed two cellular phones.,2
A staff member reported that he has been the subject of on-going harassment by another staff member.,2
A staff member was examined and released to seek medical treatment on her own after injuring her arm.,2
A student was examined and released at the scene after injuring his shoulder.,2
"A juvenile was arrested for spray painting graffiti on a wall near the location, cited and released to his guardian.",2
A staff member reported his USC ID missing.,1
A non-USC female was transported to a local hospital for medical treatment after complaining of difficulty breathing and dizziness.,2
A suspect removed a bicycle.,2
A staff member reported that both sides of his vehicle were scratched while it was parked at the location.,1
A staff member reported a University electric cart missing.,1
A suspect removed several pieces of rebar from a construction site.,2
"A staff member reported that someone placed a piece of cardboard in between the latches of a double door at the location, preventing it from being secured. The cardboard was removed and the door was secured.",2
"A suspect removed a laptop computer, two tablet computers and two backpacks.",3
A suspect removed a backpack.,2
An intoxicated student was examined and released into the care of her roommates.,2
Three students were cited to Judicial Affairs for driving a University electric cart without authorization.,2
A staff member reported that he accidentally broke the driver's side view mirror on an unidentified subject's parked vehicle when he bumped into it.,1
A student reported that he is being sexually harassed by his roommate.,3
A suspect removed the front wheel from a bicycle.,2
"After a review of camera footage, an unidentified male was seen taking cologne and sandals without paying for them.",2
"A suspect approached a non-USC female from behind and attempted to pull her purse off her shoulder. A struggle ensued, during which the suspect punched the female several times. The female was able to maintain possession of her purse and the suspect fled from sight.",3
A student reported that another student continues to call him after being asked not to do so.,2
A waste bag containing radioactive waste triggered an alarm.,3
"Officers responded to a report of a man with a gun at the location, but they were unable to locate the suspect during a subsequent search of the area.",4
A suspect removed a bicycle.,2
A non-USC male was struck by a vehicle while crossing the street at the location. The male sustained unspecified injuries and was transported to a local hospital for medical treatment.,2
A suspect removed a bicycle.,2
An intoxicated student was examined and released into the care of a friend.,2
A suspect removed an electric scooter.,2
A non-USC male was transported to a local hospital for medical treatment after falling and hitting his head.,2
A suspect was detained for removing merchandise from the location without paying for it. The property was recovered and the suspect was released after being advised that he would be arrested for trespassing if he returned to the store.,2
A suspect removed a bicycle.,2
A bike theft suspect was arrested for possession of burglary tools.,3
A suspect exited a vehicle and threw an egg at a security guard stationed at the location. The suspect then returned to the vehicle and drove away.,3
A non-USC female suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
A suspect removed a laptop computer.,2
A student reported that a suspect punched him in the face without provocation outside the location and pushed his female companion to the ground. The suspect then fled the scene in an unknown direction.,3
FMS personnel responded to the location to free a staff member who was trapped in an elevator.,2
A suspect was removed from a picnic being held outside the location and escorted off campus after entering without an invitation and yelling profanities and insults at the guests.,1
A non-USC male was arrested for pushing a staff member to the ground and punching him in the back while attempting to jump into the pool following a water polo match.,3
"A staff member was struck by a vehicle while walking near the location. The staff member sustained an injury to her arm, but did not desire medical treatment.",3
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A theft suspect was arrested for two outstanding warrants and possession of a controlled substance.,3
A fire alarm was activated by unknown cause.,2
University-owned vehicle was involved in a traffic accident. No injuries.,2
A non-USC male reported that a suspect threatened him with a knife when he refused to allow the subject to use his cellular phone. A witness intervened and the suspect subsequently fled on foot and disappeared from sight.,4
A suspect removed a bicycle.,2
A student reported that another student pushed him to the ground without provocation while he was walking near the location.,3
A non-USC male was detained and turned over to LAPD officers for investigation after he was reported to have fled the scenes of two traffic collisions near the location.,3
USC Campus Cruiser involved in a traffic collision.,2
A student was cited to Judicial Affairs for possession of a fake Id.,2
A fire alarm was activated by unknown cause.,2
A suspect removed a phone charger.,2
"A student driving his personal vehicle collided with a non-USC male driving his personal vehicle, causing unspecified damage.",2
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment after sustaining a cut to his forehead.,2
A suspect removed six coffee mugs.,2
A suspect used unknown means to make eight unauthorized purchases on a student's credit card account.,2
A staff member suffered stomach pains. Paramedics assisted and released the staff member in the company of his family.,2
A staff member reported a parking sign missing from the sidewalk outside the location.,1
A trespassing suspect was arrested for an outstanding warrant.,2
A staff member reported that another staff member struck him in the forehead with a surgical instrument without provocation.,3
A student was arrested for public intoxication after becoming combative with officers who detained him for questioning.,2
"A student was transported to SHC for medical treatment after falling and sustaining cuts and abrasions to his lip, elbows and knees.",2
A suspect removed a bicycle.,2
A non-USC female was found lying down on a public sidewalk conscious and breathing. She was uncooperative to police and fire personnel attempting to give her aide. She refused to provide information about her condition.,4
A fire alarm was activated by unknown cause.,2
A prowling suspect was arrested for an outstanding warrant.,2
A suspect was arrested for sexual battery on a non-USC female.,4
A non-USC female was examined and released at the scene after complaining of dizziness and nausea.,2
A suspect removed a GPS unit.,2
A faculty member was transported to a local hospital for medical treatment after injuring his knee.,2
A suspect was arrested for prowling in the bike racks outside the location.,1
A suspect removed a speaker.,3
A student was transported to a local hospital for medical treatment after complaining of a severe headache and feeling faint.,2
A suspect was arrested for throwing coffee at an employee who attempted to detain her during the commission of a theft at the location.,3
A student reported that her vehicle was struck by another vehicle while it was parked at the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,1
A prowling suspect was arrested for possession of a controlled substance.,3
A suspect removed a bicycle.,2
A fire alarm was activated by a malfunctioning smoke detector.,2
A staff member reported her department issued badge missing.,1
An intoxicated student was examined and released into the care of a friend.,2
A student was transported to a local hospital for medical treatment after sustaining a cut to his chin.,2
A suspect removed several tools.,4
A student was transported to a hospital for back pains.,2
A trespassing suspect was arrested for an outstanding warrant.,2
A trespassing suspect was arrested for an outstanding warrant.,2
Employee reported her uniform and equipment missing.,1
A suspect removed a skateboard.,2
A suspect removed an external hard drive.,2
A suspect was arrested for trespassing after she was observed harassing passersby and blocking a vehicle exit at the location.,3
A suspect removed two texture sprayers.,3
A suspect removed a bicycle.,2
A fire alarm was activated by dust from construction.,1
A suspect used unknown means to make two unauthorized purchases on a student's credit card account.,2
A suspect removed a bicycle.,2
A suspect used a marking pen to draw graffiti on the entrance doors at the location.,2
An intoxicated student was examined and released into the care of his roommate.,3
A student reported her wallet missing from her purse.,1
"Officers responded to a report of union representatives occupying several tables while conducting business inside the cafeteria at the location, thus preventing patrons from being seated. The reps were asked to move to a conference room and they complied without incident.",2
LAFD responded to the location to free a non-USC male who was trapped in an elevator.,2
A suspect approached a non-USC male at the location and snatched his cellular phone from his hand. The suspect then fled on foot and disappeared from sight.,4
A suspect removed a dental tool.,2
"A staff member reported receiving multiple threatening and annoying phone calls and voice mail messages from a suspect who was previously served with a University ""stay away"" letter.",2
A trespassing suspect was arrested for threatening to burn down the fraternity house after a member asked him to leave the premises.,2
A student was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
A suspect removed a skateboard.,2
A suspect was arrested for removing a student's bicycle from the location.,2
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment after injuring his hamstring.,2
"Officers responded to a report of a suspect yelling obscenities and harassing students and staff in the cafeteria at the location, but the subject fled before their arrival and could not be located during a subsequent search of the area.",2
A student was transported to a local hospital for medical treatment after sustaining a cut to his finger.,2
A fire alarm was activated by unknown cause.,2
A student was transported to SHC for medical treatment after falling and hitting her head.,2
A staff member reported that a bus driver transporting juveniles participating in a University program was relieved of duty as a safety precaution.,2
A staff member was examined and released to seek medical treatment on her own after experiencing an elevated heart rate.,2
A suspect removed a bicycle.,2
A radiation alarm was activated by the contents of a trash bag.,3
A student reported that his roommate threatened him during a verbal dispute at the location.,2
A suspect removed a desktop computer.,2
A security guard was punched several times by a shoplifting suspect while attempting to detain him. The suspect then fled on foot and disappeared from sight.,3
A staff member reported that a security guard sprayed him with pepper spray during a dispute at the location.,2
A child was examined and released into the care of his father after falling and hitting his head.,2
A patient tripped and fell resulting in her being taken in for treatment.,2
A student reported receiving several harassing messages from an unidentified subject on a social media site and it is causing him to feel uncomfortable.,2
"A suspect removed a silver, 2005 Honda Civic that was parked outside the location.",4
A suspect removed a laptop computer.,3
A staff member reported receiving unwanted emails from a vendor.,2
A staff member reported that the rear passenger side quarter panel was damaged while her vehicle was parked at the location.,1
A trespassing suspect was arrested for an outstanding warrant.,2
"A student was struck by a vehicle while riding her bicycle near the location. The student sustained an abrasion to her leg, but she did not desire medical treatment.",3
A suspect approached a student from behind as he was walking near the location and snatched a set of keys that were attached to his pants pocket. The suspect then fled on foot and disappeared from sight.,2
A staff member was transported to a local hospital for medical treatment after falling and injuring his back and ribs.,2
A theft suspect was arrested for an outstanding warrant.,2
A non-USC male reported that his boyfriend threatened him with a knife during an argument. The boyfriend was not present at the time of the report.,4
Officers responded to a report of a man with a gun at the location and upon their arrival they determined that the gun was a prop for a film shoot. The subjects producing the movie did not obtain a permit or advise anyone in the building of their presence prior to filming.,2
A discharged fire extinguisher triggered the fire alarm system.,1
A trespassing suspect was arrested for two outstanding warrants.,2
Three non-USC males were involved in a physical altercation near the location.,3
A suspect removed a wallet.,2
LAFD responded to free a student who was trapped in an elevator at the location.,2
A student reported that a suspect sent her an email message posing as one of her sorority sisters and attempted to trick her into,2
"A non-USC male drove his vehicle into a bench, causing unspecified damage.",2
A student reported his cellular phone missing.,1
A student reported that the rear bumper was damaged while his vehicle was parked at the location.,1
A welfare check was conducted on a student at the location and he was determined to be fine.,2
DPS officer assisted with a response team.,2
A suspect removed a bicycle.,2
A suspect smashed the rear windshield of a student's vehicle.,2
A suspect removed a cellular phone.,2
A suspect removed a bicycle.,2
Three students reported receiving threatening messages from another student and it has caused them to fear for their safety.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
An intoxicated male student was transported to a hospital.,3
"A non-USC female driving her personal vehicle collided with a student driving her personal vehicle, causing unspecified damage.",2
A student reported that a suspect gave him an empty envelope in exchange for a pair of shoes he agreed to sell to the subject and when he protested a second suspect in a nearby vehicle brandished a handgun. Both suspects then drove away and disappeared from sight.,4
A radiation alarm was activated by the contents of a trash bag.,3
A student was treated and released at the scene after sustaining a cut to his foot.,2
Officers responded to a report of several unsupervised juveniles riding up and down the elevators and running in the hallways of the location. The juveniles were determined to be part of a camp being held on campus and the camp director stated that she would speak to them about their behavior.,1
A suspect removed a bicycle.,2
